protein	frequency
NP_056472.2	2
NP_861522.2	6
NP_001001936.1	3
NP_937879.1	2
NP_919307.1	1
NP_775753.2	1
NP_001153749.1	5
NP_001136149.1	5
NP_004757.1	1
NP_000225.1	5
NP_005795.2	1
NP_003741.1	1
NP_653201.1	2
NP_996848.1	2
NP_004478.3	4
NP_001010934.1	2
NP_001127854.1	1
NP_116165.1	7
NP_001128578.1	1
NP_060046.1	3
NP_005804.1	1
NP_057582.2	1
NP_004992.2	1
NP_000005.2	399
NP_000006.2	143
NP_000007.1	135
NP_000008.1	176
NP_000009.1	243
NP_000010.1	126
NP_000011.2	134
NP_000012.1	97
NP_000013.2	133
NP_000014.1	126
NP_000015.1	119
NP_000016.1	79
NP_000017.1	167
NP_000018.2	140
NP_000019.2	580
NP_000020.1	212
NP_000021.1	177
NP_000022.3	107
NP_000023.2	85
NP_000024.2	146
NP_000025.1	128
NP_000026.2	174
NP_000027.2	306
NP_000028.3	646
NP_000029.2	908
NP_000030.1	88
NP_000031.1	39
NP_000032.1	91
NP_000033.2	126
NP_000034.1	89
NP_000035.2	170
NP_000036.2	114
NP_000037.2	169
NP_000038.2	119
NP_000039.2	173
NP_000040.1	114
NP_000041.2	154
NP_000042.3	972
NP_000043.4	286
NP_000044.2	631
NP_000045.1	94
NP_000047.1	129
NP_000048.1	467
NP_000050.2	1304
NP_000052.1	38
NP_000053.2	132
NP_000054.2	252
NP_000055.2	443
NP_000056.2	379
NP_000057.2	259
NP_000058.1	75
NP_000059.3	463
NP_000060.2	745
NP_000061.1	339
NP_000062.1	195
NP_000063.2	376
NP_000064.1	48
NP_000065.1	42
NP_000066.1	71
NP_000067.1	32
NP_000068.1	81
NP_000069.2	204
NP_000070.1	156
NP_000071.1	232
NP_000072.2	1154
NP_000073.1	142
NP_000074.2	352
NP_000075.1	119
NP_000076.2	262
NP_000077.1	168
NP_000078.2	240
NP_000079.2	382
NP_000080.2	400
NP_000081.1	315
NP_000082.2	500
NP_000083.3	555
NP_000084.3	570
NP_000085.1	1122
NP_000086.2	213
NP_000087.1	352
NP_000088.3	116
NP_000089.1	252
NP_000090.1	35
NP_000091.1	37
NP_000092.2	60
NP_000093.1	156
NP_000094.2	189
NP_000095.2	238
NP_000097.3	258
NP_000098.1	130
NP_000099.2	141
NP_000100.2	987
NP_000101.2	402
NP_000102.1	248
NP_000103.2	274
NP_000104.1	100
NP_000106.1	124
NP_000107.1	33
NP_000108.1	63
NP_000109.1	214
NP_000110.2	262
NP_000111.1	178
NP_000112.1	142
NP_000113.1	263
NP_000114.2	447
NP_000115.1	552
NP_000116.2	161
NP_000117.1	83
NP_000118.2	196
NP_000119.1	249
NP_000120.2	263
NP_000121.2	766
NP_000122.1	188
NP_000123.1	387
NP_000124.1	62
NP_000125.2	46
NP_000126.2	788
NP_000127.2	214
NP_000128.1	151
NP_000129.3	658
NP_000130.1	94
NP_000131.2	111
NP_000132.3	197
NP_000133.1	288
NP_000134.2	131
NP_000135.2	52
NP_000136.2	272
NP_000137.2	61
NP_000138.2	159
NP_000139.1	151
NP_000140.1	130
NP_000141.1	156
NP_000142.2	116
NP_000143.2	454
NP_000144.2	252
NP_000145.1	153
NP_000146.2	106
NP_000147.1	107
NP_000148.2	128
NP_000149.3	268
NP_000150.1	170
NP_000151.1	67
NP_000152.1	41
NP_000153.1	91
NP_000154.1	224
NP_000155.1	200
NP_000156.1	94
NP_000157.1	39
NP_000158.1	40
NP_000159.3	598
NP_000160.1	51
NP_000161.2	434
NP_000162.2	125
NP_000163.2	124
NP_000164.5	269
NP_000165.1	67
NP_000167.1	175
NP_000168.1	273
NP_000169.1	167
NP_000170.1	632
NP_000171.1	359
NP_000172.2	215
NP_000173.2	234
NP_000174.1	164
NP_000175.1	4
NP_000176.2	211
NP_000177.2	354
NP_000178.2	151
NP_000179.2	191
NP_000180.2	289
NP_000181.2	86
NP_000182.2	115
NP_000183.2	151
NP_000184.1	79
NP_000185.1	7
NP_000186.2	264
NP_000187.3	104
NP_000188.1	102
NP_000189.1	119
NP_000190.1	239
NP_000191.1	24
NP_000192.2	231
NP_000193.1	107
NP_000194.2	231
NP_000195.2	206
NP_000197.1	45
NP_000198.1	27
NP_000199.2	319
NP_000200.1	62
NP_000201.2	287
NP_000202.3	307
NP_000203.2	240
NP_000204.3	718
NP_000205.1	293
NP_000206.2	297
NP_000207.2	125
NP_000208.2	84
NP_000209.2	211
NP_000210.2	67
NP_000211.1	169
NP_000212.1	127
NP_000213.1	240
NP_000214.1	187
NP_000215.1	116
NP_000217.2	231
NP_000218.3	622
NP_000219.2	557
NP_000220.1	138
NP_000221.1	37
NP_000222.1	114
NP_000223.1	119
NP_000224.2	219
NP_000225.1	345
NP_000226.2	135
NP_000227.2	238
NP_000228.1	190
NP_000229.1	260
NP_000230.1	51
NP_000231.1	73
NP_000233.1	90
NP_000234.1	371
NP_000235.2	112
NP_000236.2	368
NP_000237.2	473
NP_000239.1	142
NP_000240.1	279
NP_000241.1	304
NP_000242.1	410
NP_000243.1	84
NP_000244.2	261
NP_000245.2	331
NP_000246.2	294
NP_000247.2	462
NP_000248.2	417
NP_000249.1	57
NP_000250.3	449
NP_000251.3	834
NP_000252.1	187
NP_000253.1	155
NP_000254.2	205
NP_000255.2	471
NP_000256.4	9
NP_000257.1	21
NP_000258.1	484
NP_000259.1	114
NP_000260.1	43
NP_000261.2	88
NP_000262.2	432
NP_000263.2	253
NP_000264.2	78
NP_000265.1	131
